municipio,IBGE,IBGE7,UF,regiao,populacao_2020,eh_capital,fonte_1,fonte_2,fonte_3,fonte_4,is_online,data_inicial,tipo_arquivo,validacao,navegacao,observacoes
Caxias do Sul (RS),430510,4305108,RS,Região Sul,517451,False,https://doe.caxias.rs.gov.br/,None,None,None,1,2016-05-02,PDF texto,True,None,
Chapecó (SC),420420,4204202,SC,Região Sul,224013,False,https://www.diariomunicipal.sc.gov.br/site/?r=site/index&q=+entidade%3A%22Prefeitura+municipal+de+Chapec%C3%B3%22,None,None,None,1,2015-10-01,HTML,True,None,
Codó (MA),210330,2103307,MA,Região Nordeste,123116,False,https://www.diariooficial.ma.gov.br/public/index.xhtml,https://dom.codo.ma.gov.br/,None,None,1,2001-12-17,PDF texto,True,None,"Há uma interface de um diário oficial municipal (FONTE 2), mas o único conteúdo retornado por uma busca genérica (letra ""a"") são alguns decretos municipais. Há até uma lista de links dos ""últimos diários"", mas esses links apenas retornam (uma versão quebrada d)a mesma página de busca.

Por outro lado, o município parece publicar frequentemente no Diário Oficial do Estado do Maranhão (FONTE 1). Para identificar as publicações do município, preencher o formulário de busca com o caderno ""Terceiros"" e o termo de pesquisa ""Prefeitura Municipal de Codó"" (com aspas)."
Colatina (ES),320150,3201506,ES,Região Sudeste,123400,False,https://diariomunicipal.es.gov.br/?r=site/index&q=cod_entidade%3A19,http://www.colatina.es.gov.br/atosoficiais/,None,None,1,2005-01-28,HTML,True,None,"As publicações no Diário Oficial dos Municípios do Espírito Santo (DOM/ES) existem a partir de 08/08/2014, e estão disponíveis em HTML e DOCX (Fonte 1). Antes disso, as publicações estão disponíveis a partir de 28/01/2005, em PDF, em portal do próprio município (Fonte 2)."
Colombo (PR),410580,4105805,PR,Região Sul,246540,False,http://www.diariomunicipal.com.br/amp/pesquisar,None,None,None,1,2013-06-18,HTML,True,None,"O Diário Oficial do município de Colombo-PR integra o portal dos Diário Oficiais dos Municípios de Paraná. Para encontrar determinado ato que não esteja na última edição que reúne as outras cidades, o cidadão precisa ir até a aba ""arquivo de publicações""  e buscar o ato até encontrá-lo por meio de datas ou palavras-chave."
Conselheiro Lafaiete (MG),311830,3118304,MG,Região Sudeste,129606,False,https://www.jornalminasgerais.mg.gov.br,None,None,None,1,2010-12-21,PDF texto,True,None,"Publicado no caderno ""Publicações de terceiros"" do Diário Oficial do Estado de Minas Gerais."
Contagem (MG),311860,3118601,MG,Região Sudeste,668949,False,http://www.contagem.mg.gov.br/?se=doc,None,None,None,1,2005-01-31,PDF texto,True,None,
Coronel Fabriciano (MG),311940,3119401,MG,Região Sudeste,110290,False,https://www.fabriciano.mg.gov.br/diario/1/visualizar,None,None,None,1,2015-02-24,PDF texto,True,None,
Corumbá (MS),500320,5003207,MS,Região Centro-Oeste,112058,False,http://do.corumba.ms.gov.br/corumba,None,None,None,1,2021-06-26,PDF imagem,True,None,O site apresenta uma interface que não possibilita encontrar a data de publicação do primeiro arquivo no portal.
Cotia (SP),351300,3513009,SP,Região Sudeste,253608,False,https://leismunicipais.com.br/diario-oficial/sp/cotia,None,None,None,1,2011-01-31,PDF texto,True,None,None
Crato (CE),230420,2304202,CE,Região Nordeste,133031,False,https://mail.crato.ce.gov.br/diario-oficial/,None,None,None,1,2010-01-05,PDF texto,True,None,
Criciúma (SC),420460,4204608,SC,Região Sul,217311,False,https://www.criciuma.sc.gov.br/site/doe.php#conteudo,None,None,None,1,2015-06-12,PDF texto,True,None,None
Cubatão (SP),351350,3513504,SP,Região Sudeste,131626,False,http://www.cubatao.sp.gov.br/diario-oficial/,None,None,None,1,2019-05-10,PDF texto,True,None,
Cuiabá (MT),510340,5103403,MT,Região Centro-Oeste,618124,True,http://www.diariomunicipal.com.br/amm-mt/pesquisar,https://diariomunicipal.org/mt/amm/publicacoes/?e=432,https://diariooficial.cuiaba.mt.gov.br/,None,1,2014-02-14,HTML,True,None,
Curitiba (PR),410690,4106902,PR,Região Sul,1948626,True,https://legisladocexterno.curitiba.pr.gov.br/DiarioConsultaExterna_Pesquisa.aspx,https://www.jusbrasil.com.br/diarios/DOM-CTBA/,None,None,1,2020-09-11,PDF texto,True,None,None
Diadema (SP),351380,3513801,SP,Região Sudeste,426757,False,http://www.imprensaoficial.com.br/DO/BuscaDO2001Resultado_11_3.aspx?filtropalavraschave=%22PREFEITURA+MUNICIPAL+DE+DIADEMA%22,None,None,None,1,1981-03-20,PDF texto,True,None,URL completa (para busca até 16/12/2020)
Divinópolis (MG),312230,3122306,MG,Região Sudeste,240408,False,http://www.diariomunicipal.com.br/amm-mg/pesquisar?busca_avancada[__paper]=1&busca_avancada[entidadeUsuaria]=760,None,None,None,1,2010-05-05,HTML,True,None,
Dourados (MS),500370,5003702,MS,Região Centro-Oeste,225495,False,http://do.dourados.ms.gov.br/,None,None,None,1,2002-12-02,PDF texto,True,None,
Duque de Caxias (RJ),330170,3301702,RJ,Região Sudeste,924624,False,https://duquedecaxias.rj.gov.br/portal/boletim-oficial.html,None,None,None,1,2013-01-02,PDF texto,True,None,
Embu (SP),351500,3515004,SP,Região Sudeste,276535,False,http://www.imprensaoficial.com.br/DO/BuscaDO2001Resultado_11_3.aspx?filtropalavraschave=%22PREFEITURA+MUNICIPAL+DE+EMBU%22&f=xhitlist&xhitlist_vpc=first&xhitlist_x=Advanced&xhitlist_q=%5bfield+%27dc%3,None,None,None,1,2003-02-15,PDF texto,True,None,"Publicado como seção no Diário Oficial do Estado de São Paulo.

URL direta:
http://www.imprensaoficial.com.br/DO/BuscaDO2001Resultado_11_3.aspx?filtropalavraschave=%22PREFEITURA+MUNICIPAL+DE+EMBU+DAS+ARTES%22&filtrogrupos=Executivo+&xhitlist_mh=9999&filtrogrupossalvar=Executivo+&xhitlist_hc=%5bXML%5d%5bKwic%2c3%5d&xhitlist_vps=15&filtrotodosgrupos=False&xhitlist_d=Executivo+&filtrotipopalavraschavesalvar=UP&xhitlist_s=&xhitlist_sel=title%3bField%3adc%3atamanho%3bField%3adc%3adatapubl%3bField%3adc%3acaderno%3bitem-bookmark%3bhit-context&xhitlist_xsl=xhitlist.xsl&CampoOrdenacao=datapublicacao&DirecaoOrdenacao=descending

(URL encurtada no campo ""Fonte"" devido à restrição no número de caracteres)

Embu das Artes era chamada de Estância Turística de Embu ou Embu (diferente de Embu-Guaçu)."
Erechim (RS),430700,4307005,RS,Região Sul,106633,False,https://www.diariooficial.rs.gov.br/,None,None,None,1,2017-11-08,HTML,True,None,Publicado como seção no Diário Oficial do Rio Grande do Sul.
Eunápolis (BA),291072,2910727,BA,Região Nordeste,114396,False,http://www.eunapolis.ba.io.org.br/diarioOficial,None,None,None,1,2010-01-15,PDF texto,True,None,None
Fazenda Rio Grande (PR),410765,4107652,PR,Região Sul,102004,False,https://www.fazendariogrande.pr.gov.br/transparencia/geral/diario-oficial-online,None,None,None,1,2011-09-25,PDF imagem,True,None,
Feira de Santana (BA),291080,2910800,BA,Região Nordeste,619609,False,https://www.diariooficial.feiradesantana.ba.gov.br/,None,None,None,1,2015-06-01,PDF texto,True,None,None
Ferraz de Vasconcelos (SP),351570,3515707,SP,Região Sudeste,196500,False,http://ferrazdevasconcelos.sp.gov.br/web/?page_id=3027,None,None,None,1,2017-03-29,PDF texto,True,None,
Florianópolis (SC),420540,4205407,SC,Região Sul,508826,True,http://www.pmf.sc.gov.br/governo/index.php?pagina=govdiariooficial,None,None,None,1,2009-06-02,PDF texto,True,None,None
Formosa (GO),520800,5208004,GO,Região Centro-Oeste,123684,False,https://diariooficial.abc.go.gov.br/buscanova/#/q=%22PREFEITURA%20MUNICIPAL%20DE%20FORMOSA%22,None,None,None,1,2017-06-11,PDF texto,True,None,Publica dentro do Diário Oficial do Estado de Goiás.
Fortaleza (CE),230440,2304400,CE,Região Nordeste,2686612,True,https://diariooficial.fortaleza.ce.gov.br/,None,None,None,1,1952-12-27,PDF imagem,True,None,
Foz do Iguaçu (PR),410830,4108304,PR,Região Sul,258248,False,https://www5.pmfi.pr.gov.br/diarioOficial,None,None,None,1,2007-09-29,PDF texto,True,None,None
